season,game_id,game_date,official_date,status,detailed_state,away_team,home_team,away_score,home_score,winner,home_win,away_probable_pitcher,home_probable_pitcher
2023,718380,2023-04-29T01:40:00Z,2023-04-28,Final,Final,Cincinnati Reds,Oakland Athletics,11,7,Cincinnati Reds,0,Luis Cessa,Drew Rucinski
2023,718382,2023-04-29T02:10:00Z,2023-04-28,Final,Final,St. Louis Cardinals,Los Angeles Dodgers,3,7,Los Angeles Dodgers,1,Jack Flaherty,Dustin May
2023,718401,2023-04-28T22:40:00Z,2023-04-29,Final,Postponed,Baltimore Orioles,Detroit Tigers,,,,,Grayson Rodriguez,Eduardo Rodriguez
2023,718399,2023-04-28T23:05:00Z,2023-04-29,Final,Postponed,Pittsburgh Pirates,Washington Nationals,,,,,Rich Hill,Chad Kuhl
2023,718381,2023-04-29T16:10:00Z,2023-04-29,Final,Final,Baltimore Orioles,Detroit Tigers,4,7,Detroit Tigers,1,Dean Kremer,Eduardo Rodriguez
2023,718401,2023-04-29T21:10:00Z,2023-04-29,Final,Final,Baltimore Orioles,Detroit Tigers,6,4,Baltimore Orioles,0,Grayson Rodriguez,Matthew Boyd
2023,718383,2023-04-29T17:05:00Z,2023-04-29,Final,Final,Pittsburgh Pirates,Washington Nationals,6,3,Pittsburgh Pirates,0,Rich Hill,Patrick Corbin
2023,718399,2023-04-29T22:05:00Z,2023-04-29,Final,Final,Pittsburgh Pirates,Washington Nationals,16,1,Pittsburgh Pirates,0,Vince Velasquez,Chad Kuhl
2023,718378,2023-04-29T18:10:00Z,2023-04-29,Final,Final,Kansas City Royals,Minnesota Twins,3,2,Kansas City Royals,0,Brad Keller,Bailey Ober
2023,718379,2023-04-29T19:07:00Z,2023-04-29,Final,Final,Seattle Mariners,Toronto Blue Jays,0,1,Toronto Blue Jays,1,Easton McGee,Kevin Gausman
2023,718375,2023-04-29T20:05:00Z,2023-04-29,Final,Final,Chicago Cubs,Miami Marlins,6,7,Miami Marlins,1,Caleb Kilian,Edward Cabrera
2023,718377,2023-04-29T20:07:00Z,2023-04-29,Final,Final,Cincinnati Reds,Oakland Athletics,3,2,Cincinnati Reds,0,Hunter Greene,Kyle Muller
2023,718385,2023-04-29T20:10:00Z,2023-04-29,Final,Final,Cleveland Guardians,Boston Red Sox,7,8,Boston Red Sox,1,Zach Plesac,Brayan Bello
2023,718372,2023-04-29T21:10:00Z,2023-04-29,Final,Final,Philadelphia Phillies,Houston Astros,6,1,Philadelphia Phillies,0,Zack Wheeler,Cristian Javier
2023,718384,2023-04-29T22:05:00Z,2023-04-29,Final,Final,San Francisco Giants,San Diego Padres,11,16,San Diego Padres,1,Sean Manaea,Joe Musgrove
2023,718374,2023-04-29T23:05:00Z,2023-04-29,Final,Final,New York Yankees,Texas Rangers,0,2,Texas Rangers,1,Jhony Brito,Nathan Eovaldi
2023,718373,2023-04-29T23:10:00Z,2023-04-29,Final,Final,Tampa Bay Rays,Chicago White Sox,12,3,Tampa Bay Rays,0,Calvin Faucher,Lance Lynn
